,count,mean,std,min,25%,50%,75%,max,missing_pct
autocorr_10_lag1,360.0,-0.2732661292910671,0.19505907211302767,-0.8214751175854882,-0.3738093122075302,-0.29274280422147947,-0.12580756205655286,0.6599437272129789,0.0
corr_VIXCLS_10,360.0,0.008506230405959972,0.32801813997211915,-0.6638147801818254,-0.22845364690237216,0.009079143418990975,0.2390507047876403,0.8911960136321548,0.0
beta_CPIAUCSL_10,360.0,0.4447124763349798,13.996399737459122,-168.89195223164774,-0.003531106702921846,-0.0023616693835994485,-0.0011938964507684916,152.96365580468893,0.0
beta_FEDFUNDS_10,360.0,1.07907985346315,13.59200826590772,-36.50293150521737,-3.9474596431116675e-05,-1.9737298215558338e-05,-9.868649107779169e-06,156.84611558617334,0.0
realized_var_10,360.0,177.5547247520071,104.88691290539377,0.00011657369305827495,96.36612241875005,192.46390226894252,284.80413025674784,391.861304650711,0.0
corr_DGS2_10,360.0,-0.017067528671042737,0.30964748010278553,-0.7239579136784564,-0.2429050955032828,-0.020538558371230437,0.17249688173380961,0.8834280408129138,0.0
corr_DFII10_10,360.0,-0.030826639493031893,0.30687824922023305,-0.7509446137795881,-0.22877499945943705,-0.05758171314312059,0.15395651660753798,0.8635878835141814,0.0
corr_T10Y2Y_10,360.0,0.0009370725502754763,0.30224372033295316,-0.7115668410507505,-0.2096961048153213,-0.024672468947529808,0.211913170523092,0.8156260740414332,0.0
return_10,360.0,2.1618741965901043,4.393839419733804,-0.9116755452387852,-0.9010132905890507,0.0022420289756930334,0.07828800964099925,10.550967879315232,0.0
log_return_10,360.0,-0.03234771517959451,1.684828431877983,-2.4267382588528994,-2.3127696965146063,0.0022395103076852546,0.07537394325828903,2.4467692325317683,0.0
rolling_skew_10,360.0,1.3771685204058886,1.519437343449585,-3.1615423620239906,1.0099613481745155,1.738678889810891,1.7578747528791159,3.1622700158630987,0.0
beta_T10YIEM_10,360.0,5.175286768675748,47.62992169983995,-313.6913489124382,-1.9737279545943994e-05,-1.2335809769380364e-05,0.0,368.46988796605797,0.0
corr_DCOILWTICO_10,360.0,0.025028447650818977,0.3112458035449622,-0.6363554957412197,-0.21884018362210708,0.007271509385178075,0.23744835577207574,0.7664321390432238,0.0
yield_curve_slope,360.0,-0.4216666666666667,0.28900270357575325,-1.07,-0.63,-0.41,-0.2775,0.29,0.0
real_yield_level,360.0,1.6075555555555556,0.4639291106906405,0.13,1.35,1.68,1.9425,2.36,0.0
yield_slope_alt,360.0,-0.4216666666666667,0.28900270357575325,-1.0699999999999998,-0.6299999999999999,-0.41000000000000014,-0.27749999999999964,0.29000000000000004,0.0
zscore_20,360.0,-0.06227238292077623,1.046311593586114,-4.232132564123298,-0.9709110970769346,-0.559452944234359,0.8968899294071833,4.248480573923708,0.0
corwin_schultz_20,360.0,5.5614433686615855e-05,2.9534926680949233e-05,1.238443228411817e-05,3.5721898703347966e-05,4.983689170076239e-05,6.788751934296589e-05,0.0001409280060925269,0.0
vol_of_vol_20,360.0,0.5955893910627633,0.47717529251137175,0.0001797042431252327,0.3126125643840032,0.4409795131841725,0.6608734550819226,2.1328939550541337,0.0
rolling_mean_20,360.0,1144.5480145666334,321.63984792314056,240.13799972534179,914.1614986419678,1196.0244979858398,1386.2538898468017,1762.4740104675293,0.0
drawdown_20,360.0,-0.4722769828877857,0.44687622368654506,-0.9138417984630707,-0.9084572122299782,-0.9040337032338392,-0.011283056949033098,0.0,0.0
autocorr_20_lag1,360.0,-0.27123269660121196,0.13376258677089162,-0.6168128012251927,-0.34909027477217014,-0.29182470618291934,-0.1834173636793125,0.2538678684044732,0.0
corr_DGS10_20,360.0,0.007741996348923603,0.20111313051784735,-0.5104207464745951,-0.1228146136586037,0.0013632739147815425,0.1253544711964631,0.6570975385172937,0.0
corr_T10Y2Y_20,360.0,0.01730902685215003,0.18892398652247697,-0.4362938780633371,-0.12777702156939885,0.01150141404113324,0.141129530576528,0.6957598756634867,0.0
autocorr_20_lag10,360.0,0.017851060121813027,0.3304324043516281,-0.6712367394114658,-0.2426271711984721,-0.0900195823375495,0.23157206666634497,0.8250792234803187,0.0
